Id;Title;Year;Budget;UnivName;UnivZIP;State
1600932;DISSERTATION RESEARCH: Effects of Reduced Population Size on the Genomics of Adaptation during Drosophila Experimental Evolution;2016;20085.0;University of California-Irvine;926173213;CA
1600934;Center for Renewable Energy Advanced Technological Education Support Center (CREATE-SC);2016;1598881.0;Madison Area Technical College;537042599;WI
1600937;Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores;2016;286208.0;Colorado State University;805232002;CO
1600942;Linear and nonlinear problems in dispersive Partial Differential Equations;2016;160000.0;University of California-Los Angeles;900951406;CA
1600943;Special Values of p-adic L-Functions;2016;159000.0;University of California-Santa Cruz;950641077;CA
1600945;DISSERTATION RESEARCH: Investigating Genomic Signatures of Range Shifts and Demographic Change in Migratory Hummingbirds;2016;15995.0;University of Washington;981950001;WA
1600947;EAGER Collaborative Research: Exploring dust impacts on terrestrial ecosystem processes using an innovative and integrated approach;2015;8559.0;University of Texas at El Paso;799680001;TX
1600953;Combinatorics of Macdonald Polynomials and Schubert Calculus;2016;97329.0;Drexel University;191021119;PA
1600954;TeaM SCoRE Biotechnology: Teachers in Montana Strengthening the Continuity of Rural Education in Biotechnology;2016;424590.0;Flathead Valley Community College;599012662;MT
1600961;DISSERTATION RESEARCH: Soil resource variability as a driver of interactions within, and emergent properties of, tritrophic ecological networks;2016;19198.0;University of California-Davis;956186134;CA
1600965;DISSERTATION RESEARCH: The evolution of major life-history transitions: a transcriptomic analysis of developmental shifts in echinoids;2016;20258.0;University of California-Davis;956186134;CA
1600969;Research Initiation Award: Physical forces impacting the temporal variability of mesopelagic prey at the Cape Hatteras marine top-predator diversity hotspot;2016;282106.0;Savannah State University;314049703;GA
1600971;DISSERTATION RESEARCH: Phylogeny and evolutionary exploration of the C3-CAM phenotypic space in Calandrinia (Montiaceae);2016;20792.0;Brown University;029129002;RI
1600976;Collaborative Research: Digitization TCN: The Mid-Atlantic Megalopolis: Achieving a greater scientific understanding of our urban world;2016;13757.0;Howard University;200599000;DC
1600980;Dissertation Research: Within-host seasonal drivers of pathogen dynamics in a fruit bat reservoir;2016;16301.0;Princeton University;085442020;NJ
1600981;Collaborative Research: Digitization TCN: The Mid-Atlantic Megalopolis: Achieving a greater scientific understanding of our urban world;2016;218024.0;New York Botanical Garden;104585126;NY
1600982;RUI:   Affine Flags, p-adic Representations, and Quantum Cohomology;2016;128000.0;Haverford College;190411336;PA
1600987;Research Initiation Award: Development of Carbon-Carbon Bond Forming Strategies in the Synthesis of O-, N-Heterocycles;2016;299703.0;Winston-Salem State University;271100001;NC
1600988;Research Initiation Award: Functional Characterization of Arabidopsis RmlC-like Cupins Superfamily Proteins;2016;299994.0;West Virginia State University;251121000;WV
1600990;CS Gateways 2015: Sustaining NSF-Supported Computer Science Education Curricula;2016;99957.0;University of Chicago;606375418;IL
1600992;EvaluATE;2016;1599872.0;Western Michigan University;490085200;MI
1600997;Topics in Algebraic Geometry: Gromov-Witten Theory and Donaldson-Thomas Theory;2016;133251.0;University of Kansas Center for Research Inc;660457568;KS
1601000;Collaborative Research: THE MCMURDO DRY VALLEYS: A landscape on the Threshold of Change;2015;59081.0;University of Colorado at Boulder;803031058;CO
1601002;Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores;2016;48623.0;University of Georgia Research Foundation Inc;306021589;GA
1601003;DISSERTATION RESEARCH: Evolution of Gene Expression in Floral Diversification of Neotropical Gesneriaceae.;2016;19323.0;Washington State University;991641060;WA
1601004;Regulation of sleep in the Mexican cavefish;2015;133778.0;Florida Atlantic University;334316424;FL
1601014;Broadening the Impact of STEM Education: The Community College Leadership Role II, 2017-2019;2016;3287436.0;American Association of Community Colleges;200361176;DC
1601016;Finger Lakes Probability Seminar;2016;7439.0;Cornell University;148502820;NY
1601022;Research Initiation Award - Cellulosic Ethanol Production from Major Feedstocks: Insights from Yeast Transcriptomics;2016;297773.0;Alcorn State University;390967500;MS
1601024;Symbolic Powers, Configurations of Linear Spaces, and Applications;2016;131062.0;University of Nebraska-Lincoln;685031435;NE
1601026;Unique Functionals and Quantum Groups;2016;64959.0;Stanford University;943041212;CA
1601028;L-functions and Arithmetic;2016;49000.0;Harvard University;021385366;MA
1601031;Research Initiation Award: A model plant group to study the evolution of diverse reproductive systems;2016;270897.0;Howard University;200599000;DC
1601036;DISSERTATION RESEARCH: The functional consequences of antagonism in fungal communities;2016;21543.0;Yale University;065208327;CT
1601038;Building an Academic Pathway for the Aerial Sensing Data Analyst;2016;583698.0;Sinclair Community College;454021460;OH
1601041;Dissertation Research: Molecular Systematics of Porroglossum orchids: Phylogenetics, Floral Snap-Trap Kinematics, and Fragrance;2016;19575.0;University of Wisconsin-Madison;537151218;WI
1601043;Northeast Iowa Advanced Manufacturing Technicians;2016;638143.0;Northeast Iowa Community College;521320400;IA
1601044;Research Initiation Award: Integrating Image and Text Information for Biomedical Literature-Based Cross and Multimodal Retrieval;2016;297843.0;Morgan State University;212510002;MD
1601050;Dissertation Research:  A Hybrid Zone Lens on Rapid Speciation During Refugial Isolation in the Field Vole (Microtus agrestis);2016;20028.0;Cornell University;148502820;NY
1601052;DISSERTATION RESEARCH: Consequences of resource heterogeneity for immune defense, connectivity, and rabies dynamics in vampire bats;2016;19499.0;University of Georgia Research Foundation Inc;306021589;GA
1601054;Arithmetic Geometry;2016;130000.0;Harvard University;021385366;MA
1601057;Research Initiation Award: The ecology of microbial communities in relation to red deep sea crabs and their surrounding environment;2016;359967.0;Hampton University;236680108;VA
1601060;Cyber Service! Interdisciplinary & Experiential Education for Cyber Forensics Technicians;2016;199987.0;Union County College;070161528;NJ
1601061;DISSERTATION RESEARCH:   Hypoxia-induced trade-offs on zooplankton vertical distribution and community structure in freshwaters;2016;20880.0;Virginia Polytechnic Institute and State University;240610001;VA
1601062;DISSERTATION RESEARCH:   Lizards of the Family Teiidae: phylogeny, historical biogeography, and continental-scale species delimitation;2016;15428.0;Brigham Young University;846021231;UT
1601063;Research in Group Theory;2016;148665.0;California Institute of Technology;911250600;CA
1601065;Holomorphic Symplectic Varieties, Mirror Symmetry, and Cluster Algebras;2016;200434.0;University of Massachusetts Amherst;010359450;MA
1601070;Irrational Vertex Algebras, Quantum Modular Forms, and Unrolled Quantum Groups;2016;138000.0;SUNY at Albany;122220100;NY
1601071;Research Initiation Award: Toward Bionanoscience - Binding of Amino Acids with Graphene and N-doped Graphene;2016;299986.0;Clark Atlanta University;303144358;GA
1601072;Dissertation Research:  Integrative species delimitation, cryptic coloration, and climatic niche breadth in songbirds;2016;20001.0;Cornell University;148502820;NY
1601075;Rural Internship Program;2016;199986.0;Klamath Community College;976037121;OR
1601076;DISSERTATION RESEARCH: Identifying the genetic basis of adaptation to a freshwater environment using admixture in natural populations;2016;18040.0;University of California-Davis;956186134;CA
1601077;Dissertation Research: Effect of phoretic dispersal on the structure of parasite populations;2016;19053.0;University of Utah;841128930;UT
1601078;DISSERTATION RESEARCH: QTL Mapping Floral Trait Divergence and Reproductive Isolation between a Jaltomata (Solanaceae) Species Pair;2016;20246.0;Indiana University;474013654;IN
1601080;Realistic Treatment of Plasma-Surface Interactions in Simulations of Low Temperature Plasmas: From a New Diagnostic to Optimization of Process Control;2016;285000.0;West Virginia University Research Corporation;265066845;WV
1601084;SCH: EXP: Smart Adaptive Adherence-Enhancing Intervention Strategies for Breast Cancer Prevention;2017;289569.0;Georgia Tech Research Corporation;303320420;GA
1601087;GOALI: Influence of Length-Scale on Diffusion During FAST (Field-Assisted Sintering Technology);2015;246049.0;University of California-Irvine;926173213;CA
1601088;DISSERTATION RESEARCH: Do accelerated microbial - organic matter interactions feed back to promote shrub growth in arctic tundra?;2016;17264.0;University of Georgia Research Foundation Inc;306021589;GA
1601093;Dissertation Research: Functional Genomics of Ornament Production in a Warbler;2016;18359.0;University of Wisconsin-Milwaukee;532010340;WI
1601095;Dissertation research:   Are functional traits adaptive? Dissecting the evolutionary dynamics of plant functional traits;2016;17928.0;University of Connecticut;062691133;CT
1601096;DISSERTATION RESEARCH: Developing a toolbox for evolutionary inferences in polyploids: new methods of analysis applied to the plant genus Penstemon (Plantaginaceae);2016;20020.0;Ohio State University;432101016;OH
1601100;DISSERTATION RESEARCH: Selection and Signal Evolution: Diversification of Peacock Spiders (genus: Maratus);2016;20372.0;University of California-Berkeley;947045940;CA
1601101;Collaborative Research: Digitization TCN: The Mid-Atlantic Megalopolis: Achieving a greater scientific understanding of our urban world;2016;65494.0;Rutgers University New Brunswick;088543925;NJ
1601105;Texas-Oklahoma Representations and Automorphic Forms Conference Series;2016;13000.0;University of Oklahoma Norman Campus;730199705;OK
1601106;DISSERTATION RESEARCH: A trait-based approach to characterize microbial community composition;2016;20085.0;University of California-Irvine;926173213;CA
1601115;CAREER: Unlocking the neural code with spikes, currents and conductances;2015;387960.0;Princeton University;085442020;NJ
1601119;NSF-ATE: Partnership for Advanced Marine and Environmental Science Training for Pacific Islanders;2016;899977.0;University of Hawaii;968222234;HI
1601121;NM Green: Advancing Sustainable Construction Technology Education;2016;884573.0;University of New Mexico;871310001;NM
1601124;Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores;2016;179204.0;Harvard University;021385366;MA
1601126;Research Initiation Award: Establishment of an Integrated Analysis, Control Design and Implementation Framework for Hybrid Dynamical Systems with Constraints;2016;299999.0;Prairie View A & M University;774460519;TX
1601127;Research Intiation Award: Long Time Behavior for Systems of Coupled Partial Differential Equations;2016;299628.0;Virginia State University;238060001;VA
1601128;Experimental Study of Heavy Flavor and CP Violation with the LHCb Experiment at the CERN LHC Collider;2016;879999.0;University of Maryland College Park;207425141;MD
1601130;DISSERTATION RESEARCH: The evolutionary recruitment of effector genes into a novel sensory system;2016;19965.0;University of California-Davis;956186134;CA
1601135;Dissertation Research:   Assembly, maintenance, and function of the plant-endophyte symbiosis;2016;19551.0;Indiana University;474013654;IN
1601140;Next Level Networking Project;2016;199893.0;Renton Technical College;980564123;WA
1601144;Arithmetic and Geometry Around Relative Trace Formulae;2016;109296.0;Columbia University;100276902;NY
1601148;DISSERTATION RESEARCH: Revealing the genomic targets of opposing natural selection that differ between females and males;2016;20207.0;University of Virginia Main Campus;229044195;VA
1601150;National CyberWatch Center;2016;4838016.0;Prince George's Community College;207742199;MD
1601155;DISSERTATION RESEARCH: Biological Uptake of Dissolved Organic Matter in Streams and Self-Priming Effect;2016;21264.0;Yale University;065208327;CT
1601156;Research Initiation Award - Experimental and Multiscale Simulation Study of Nanoscale Thermal Transport and Evaporation/Boiling Heat Transfer using Self-assembled Nanoemulsions;2016;299934.0;University of the District of Columbia;200081122;DC
1601159;Commercial Energy Management Technology (CEM-Tech);2016;760812.0;Raritan Valley Community College;088761265;NJ
1601160;The Stacks Project in Algebraic Geometry;2016;256624.0;Columbia University;100276902;NY
1601164;Digitization TCN: Collaborative Research: Lepidoptera of North America Network: Documenting Diversity in the Largest Clade of Herbivores;2016;208729.0;Mississippi State University;397629662;MS
1601168;Central Virginia Advanced Manufacturing Initiative;2016;438964.0;Piedmont Virginia Community College;229028714;VA
1601172;CollaborATE;2016;883093.0;College of Lake County;600301148;IL
1601174;Research Initiation Award: Investigation of Coherent Elastic Neutrino-Nucleus Scattering;2016;288902.0;North Carolina Central University;277073129;NC
